Name,Brief Description,Proximity,Full Address,Street Address,City,State,Zip Code,Phone Number,Web Site,Hours of Operation,Intake,Fee,Features,Detailed Description,Eligibility,Application Procedure,Required Documents,Age Restriction,Languages,lon,lat,marker-color,marker-size,marker-symbol
American Folk Art Museum,"Museum featuring over 4,000 pieces of American folk art spanning three centuries. For the price of admission, contact the museum.",,"45 W 53rd Street, NEW YORK, NY, 10019",45 W 53rd Street,NEW YORK,NY,10019,(212) 265-1040,,Tue - Thu: 10:30 AM - 5:30 PM; Fri: 10:30 AM - 7:30 PM; Sat: 10:30 AM - 5:30 PM,,,Museum,,,,,,,-73.978183,40.76152,,,
American Museum of Natural History,"Scientific research and education Museum, housing over 40 exhibition halls, the Rose Center for Earth and Space, and an IMAX theater. Features include special exhibitions, guided tours, and educational programs for children and families. For the price of admission, contact the museum.",,"175 Central Park West, NEW YORK, NY, 10024",175 Central Park West,NEW YORK,NY,10024,(212) 769-5100,http://www.amnh.org,Mon - Sun: 10:00 AM - 5:45 PM,,,Museum,,,,,,,-73.9733701,40.7797566,,,
American Museum of the Moving Image,"Museum dedicated to film, television, and digital media. Special programs include exhibitions, film screenings, lectures, seminars, and tours. For the price of admission, contact the museum.",,"3601 35th Avenue, ASTORIA, NY, 11106",3601 35th Avenue,ASTORIA,NY,11106,(718) 784-0077,http://www.ammi.org,"Wed, Thu: 12:00 PM - 5:00 PM; Fri: 12:00 PM - 8:00 PM; Sat, Sun: 11:00 AM - 6:00 PM",,,"Film, Museum",,,,,,,-73.92396301031113,40.75630498323039,#7e7e7e,medium,
Bronx County Historical Society,"Promotes knowledge, interest, and research in the Bronx by publishing books and conducting tours, courses, and programs. For the price of admission, contact the museum.",,"3309 Bainbridge Avenue, BRONX, NY, 10467",3309 Bainbridge Avenue,BRONX,NY,10467,(718) 881-8900,http://www.bronxhistoricalsociety.org,Mon - Fri: 9:00 AM - 5:00 PM,,,"Historical Society, Museum",,,,,,,-73.87964,40.878211,,,
Bronx Museum of the Arts,"Museum dedicated to twentieth century and contemporary art. Special events include performances and educational programs for adults, teens, and families, as well as gallery tours. For the price of admission, contact the museum.",,"1040 Grand Concourse, BRONX, NY, 10456",1040 Grand Concourse,BRONX,NY,10456,(718) 681-6000,http://www.bxma.org,Wed: 12:00 PM - 9:00 PM; Thu - Sun: 12:00 PM - 6:00 PM,,,Museum,,,,,,,-73.919981,40.831092,,,
Brooklyn Children's Museum,"Museum featuring hands-on activities and educational exhibits for children about world cultures, the arts, science and the environment. For the price of admission, contact the museum.",,"145 Brooklyn Avenue, BROOKLYN, NY, 11213",145 Brooklyn Avenue,BROOKLYN,NY,11213,(718) 735-4400,http://www.brooklynkids.org,"Wed - Fri: 1:00 PM - 6:00 PM; Sat, Sun: 11:00 AM - 6:00 PM",,,Museum,,,,,,,-73.944327,40.674747,,,
Brooklyn Museum,"Second largest Museum in the City, featuring a permanent collection of more than 1.5 million objects representing almost every culture. Public programs include performances, films, gallery talks and tours, and special programs for children and families.  For the price of admission, contact the museum.",,"200 Eastern Parkway, BROOKLYN, NY, 11238",200 Eastern Parkway,BROOKLYN,NY,11238,(718) 638-5000,http://www.brooklynMuseum.org,"Wed - Fri: 10:00 AM - 5:00 PM; Sat, Sun: 11:00 AM - 6:00 PM",,,Museum,,,,,,,-73.963681,40.671341,,,
Childrens Museum of Manhattan,"Interactive children's Museum. For the price of admission, contact the museum.",,"212 West 83rd Street, NEW YORK, NY, 10024",212 West 83rd Street,NEW YORK,NY,10024,(212) 721-1234,http://www.cmom.org,Sun - Fri: 10:00 AM - 5:00 PM; Sat: 10:00 AM - 7:00 PM,,,Museum,,,,,,,-73.977302,40.785817,,,
Cooper Hewitt National Design Museum,"Museum devoted exclusively to historic and contemporary design. Tours are available. For the price of admission, contact the museum.",,"2 East 91st Street, NEW YORK, NY, 10128",2 East 91st Street,NEW YORK,NY,10128,(212) 849-8400,,"Tue, Thu: 10:00 AM - 5:00 PM; Fri: 10:00 AM - 9:00 PM; Sat: 10:00 AM - 6:00 PM; Sun: 12:00 PM - 6:00 PM",,,Museum,,,,,,,-73.957778,40.784427,,,
Dahesh Museum of Art,"Museum devoted to collecting, exhibiting, and interpreting works by Europe's academically trained artists of the 19th and early 20th centuries. For the price of admission, contact the museum.",,"580 Madison Avenue, NEW YORK, NY, 10022",580 Madison Avenue,NEW YORK,NY,10022,(212) 759-0606,,Tue - Sun: 11:00 AM - 6:00 PM; open until 9:00 PM on the first Thursday of each month.,,,Museum,,,,,,,-73.972748,40.762035,,,
